Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numentaTM,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.50131372235,-1.0,0,1512,0,202,1714
numentaTM,standard,realKnownCause/machine_temperature_system_failure.csv,0.50131372235,-1.58542480843,7,9446,13,1131,10597
numentaTM,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.50131372235,0.618459561759,4,1727,1,232,1964
numentaTM,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.50131372235,-1.09530262111,0,1511,1,202,1714
numentaTM,standard,realTweets/Twitter_volume_KO.csv,0.50131372235,0.507509513835,3,6374,3,795,7175
numentaTM,standard,artificialWithAnomaly/art_daily_nojump.csv,0.50131372235,0.772978599371,1,1512,0,201,1714
numentaTM,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.50131372235,0.588283843926,6,1507,4,197,1714
numentaTM,standard,realAdExchange/exchange-2_cpm_results.csv,0.50131372235,0.878332751092,2,607,1,81,691
numentaTM,standard,realAdExchange/exchange-3_cpm_results.csv,0.50131372235,0.864343448046,1,577,0,76,654
numentaTM,standard,realTweets/Twitter_volume_AAPL.csv,0.50131372235,1.37125947216,7,6532,5,657,7201
Totals,,,,11.1923384525,138,144944,143,16127,161352
