useDataReduction,combinedNum,convWidth,poolingWidth,useAverage,reward_low_FP_rate_score,reward_low_FN_rate_score,standard_score
True,,10.0,3.0,False,52.0538274564,64.3807966603,59.9332639559
combine,2.0,2.0,2.0,False,62.8404674149,71.9415147622,67.8879192996
combine,2.0,2.0,3.0,False,64.6275105635,73.9500188768,69.9767524531
combine,2.0,2.0,4.0,False,60.709487096,67.8273441046,63.9573816839
combine,2.0,2.0,5.0,False,55.2069933759,63.1261709063,58.999131291
combine,2.0,2.0,6.0,False,56.2528600276,63.4923730922,60.3247665349
combine,2.0,2.0,7.0,False,56.7158375846,63.7390644951,60.6948036392
combine,2.0,2.0,8.0,False,53.756452324,58.284691458,55.9461760618
combine,2.0,2.0,9.0,False,50.7148762453,54.4434157541,52.3547788036
combine,2.0,2.0,10.0,False,50.1810831953,53.5047491973,51.3778134511
combine,2.0,3.0,2.0,False,60.3957312009,71.9764607422,67.4474497339
combine,2.0,3.0,3.0,False,58.9503272656,68.2365786212,64.4238334491
combine,2.0,3.0,4.0,False,57.8750097681,65.3080267135,62.1861780012
combine,2.0,3.0,5.0,False,56.6820556037,62.3584773823,59.4859919356
combine,2.0,3.0,6.0,False,54.948003097,61.8963266769,58.7927658774
combine,2.0,3.0,7.0,False,53.5185636379,59.0176604335,56.365027868
combine,2.0,3.0,8.0,False,52.8041095318,58.5076967461,55.864993395
combine,2.0,3.0,9.0,False,50.3272594686,53.4735913731,51.4005251688
combine,2.0,3.0,10.0,False,50.1819969519,53.5850751483,51.4983023776
combine,2.0,4.0,2.0,False,60.8157266769,70.7378338255,66.3361543581
combine,2.0,4.0,3.0,False,57.3317132857,68.1571083572,63.8735935703
combine,2.0,4.0,4.0,False,55.9878531532,61.6249370535,58.5217122563
combine,2.0,4.0,5.0,False,53.5919555889,58.6512566251,56.0803332136
combine,2.0,4.0,6.0,False,54.9796458658,59.7730454409,57.3319819544
combine,2.0,4.0,7.0,False,54.6383684357,60.2708625143,57.6476730818
combine,2.0,4.0,8.0,False,52.070140824,55.6283766771,53.2701512226
combine,2.0,4.0,9.0,False,50.3786047311,53.7762586978,51.785077702
combine,2.0,4.0,10.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,5.0,2.0,False,56.9441876207,68.0651823126,63.7357045033
combine,2.0,5.0,3.0,False,56.843844297,64.7760430688,61.3882025343
combine,2.0,5.0,4.0,False,54.9521831227,60.8193227768,58.0393289928
combine,2.0,5.0,5.0,False,54.7166953194,59.7007200551,57.2234938757
combine,2.0,5.0,6.0,False,54.7358635806,60.3016877211,57.693910892
combine,2.0,5.0,7.0,False,53.3688574411,57.5978678481,55.3623190136
combine,2.0,5.0,8.0,False,50.1834895607,54.0841217286,51.8158377653
combine,2.0,5.0,9.0,False,50.3723989524,53.3661202553,51.4456646526
combine,2.0,5.0,10.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,6.0,2.0,False,58.4019613167,65.7607527473,62.4342325692
combine,2.0,6.0,3.0,False,56.1133500986,63.339294803,60.095149101
combine,2.0,6.0,4.0,False,54.2495119267,59.5608231584,57.0136485307
combine,2.0,6.0,5.0,False,52.8203875888,58.4557718426,55.3293606635
combine,2.0,6.0,6.0,False,52.8055617168,57.3007392609,54.9166261328
combine,2.0,6.0,7.0,False,50.7101841794,53.9329641501,52.0201358802
combine,2.0,6.0,8.0,False,50.5517215594,53.8907961041,51.9568838113
combine,2.0,6.0,9.0,False,50.5605519435,53.3248439464,51.5389900575
combine,2.0,6.0,10.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,7.0,2.0,False,56.6282686329,64.6886306485,60.826049421
combine,2.0,7.0,3.0,False,54.7542790098,60.1919633168,57.5293242856
combine,2.0,7.0,4.0,False,56.295057521,61.2667879755,58.7105267908
combine,2.0,7.0,5.0,False,52.2736873665,56.1220354489,54.0106393802
combine,2.0,7.0,6.0,False,52.1490247903,56.0506006652,53.8840254426
combine,2.0,7.0,7.0,False,51.3484225904,54.1374473661,52.3268607044
combine,2.0,7.0,8.0,False,50.6561346531,53.5552324195,51.587158974
combine,2.0,7.0,9.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,7.0,10.0,False,50.3677942099,53.2595571814,51.44105991
combine,2.0,8.0,2.0,False,57.5431571611,63.4587584702,60.5323402925
combine,2.0,8.0,3.0,False,54.4015219662,58.9282757461,56.495861895
combine,2.0,8.0,4.0,False,51.5957423712,55.9734037118,53.7876917746
combine,2.0,8.0,5.0,False,51.4095833939,54.7870688974,52.767328243
combine,2.0,8.0,6.0,False,50.547702129,53.8565071816,51.9054504276
combine,2.0,8.0,7.0,False,50.6576207737,53.3579473044,51.5886450945
combine,2.0,8.0,8.0,False,50.1797068733,53.1973840145,51.3478001597
combine,2.0,8.0,9.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,8.0,10.0,False,49.9474244267,52.7001272883,50.8310349544
combine,2.0,9.0,2.0,False,54.3075646577,60.4342494493,57.4617190015
combine,2.0,9.0,3.0,False,53.0631718002,56.9664513319,54.846228722
combine,2.0,9.0,4.0,False,50.831830549,55.1163536227,52.9331511238
combine,2.0,9.0,5.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,9.0,6.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,9.0,7.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,9.0,8.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,9.0,9.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,9.0,10.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,10.0,2.0,False,52.2489966965,55.5960819332,53.6527435895
combine,2.0,10.0,3.0,False,51.5236773876,54.2226117994,52.4546073543
combine,2.0,10.0,4.0,False,50.4740908309,53.2988124001,51.499942738
combine,2.0,10.0,5.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,10.0,6.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,10.0,7.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,10.0,8.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,10.0,9.0,False,49.9474244267,52.5655175558,50.8310349544
combine,2.0,10.0,10.0,False,49.9474244267,52.5655175558,50.8310349544
combine,1.0,2.0,2.0,False,59.0836100656,72.7079509284,66.8205470822
combine,1.0,2.0,3.0,False,56.5322288291,69.2696825409,64.2941305922
combine,1.0,2.0,4.0,False,53.7517790144,67.5684307137,62.1285081396
combine,1.0,2.0,5.0,False,53.8351375456,64.9096462774,59.7388906821
combine,1.0,2.0,6.0,False,55.0601438335,65.1960173568,60.2928543824
combine,1.0,2.0,7.0,False,53.5477437374,62.7159590306,59.1601454425
combine,1.0,2.0,8.0,False,51.528459889,59.8225293772,56.1131044106
combine,1.0,2.0,9.0,False,50.3555739773,55.3757467407,52.4601718351
combine,1.0,2.0,10.0,False,52.3261228913,56.6961137013,54.4407222761
combine,1.0,2.0,3.0,False,56.5322288291,69.2696825409,64.2941305922
combine,1.0,3.0,3.0,False,56.3070599921,67.8860743641,63.4670425806
combine,1.0,4.0,3.0,False,54.7866460218,66.4991535924,61.386661423
combine,1.0,5.0,3.0,False,53.2259671963,66.2377545892,60.9945629184
combine,1.0,6.0,3.0,False,55.0840416902,66.3733326838,61.628964543
combine,1.0,7.0,3.0,False,53.2008315914,62.12303266,57.8163817703
combine,1.0,8.0,3.0,False,53.1229852105,61.9783135425,58.4847116931
combine,1.0,9.0,3.0,False,53.7349660856,62.0071200631,58.527921474
combine,1.0,10.0,3.0,False,51.6838175818,56.9713981546,54.4226144732
