datasetType,dataset,htm_standard_score,dataReduction_standard_score,increaseRate
artificialWithAnomaly,art_daily_nojump.csv,0.0,0.0,0.0
realTweets,Twitter_volume_IBM.csv,38.3935384443,53.6976841697,15.3041457254
realKnownCause,machine_temperature_system_failure.csv,23.4794818857,55.9614201828,32.4819382971
realKnownCause,ambient_temperature_system_failure.csv,85.9943210398,85.989418645,-0.0049023948
realTraffic,speed_7578.csv,90.257098106,89.0852921511,-1.1718059549
realAWSCloudwatch,ec2_cpu_utilization_77c1ca.csv,99.2433001853,88.176967701,-11.0663324843
realKnownCause,rogue_agent_key_hold.csv,22.1574744038,29.2473156723,7.0898412685
realAWSCloudwatch,ec2_cpu_utilization_825cc2.csv,92.3268920142,92.3100998126,-0.0167922016
realAWSCloudwatch,rds_cpu_utilization_cc0c53.csv,46.5387700519,46.5383392503,-0.000430801599997
realAWSCloudwatch,ec2_disk_write_bytes_c0d644.csv,60.2977714727,57.027463205,-3.2703082677
artificialWithAnomaly,art_daily_flatmiddle.csv,88.171802691,90.1444661953,1.9726635043
artificialNoAnomaly,art_noisy.csv,100.0,100.0,0.0
realAWSCloudwatch,ec2_cpu_utilization_53ea38.csv,82.0340528015,82.7779949315,0.74394213
realAWSCloudwatch,ec2_cpu_utilization_c6585a.csv,100.0,100.0,0.0
,Totals,66.8933233202,69.6642990161,2.7709756959
